Num,Tipo,Voce,Cat,Italiano,Et_Audio
51,locuzione,bala (de –),loc,"di corsa, con premura, senza por tempo in mezzo - anche: sùbit, debòt",bala (de –)
52,locuzione,bala (nar de –),loc,"andar di corsa, senza indugio, andare velocemente",bala (nar de –)
53,locuzione,bala de néf,es,palla di neve,bala de nef
54,lemma,balada,sf,"ballata, danzata, sgambettata, componimento letterario",balada
55,lemma,baladór,sm,"1. ballerino, danzatore; 2. ballatoio, balcone, terrazzo - anche:pontesèl, pogiòl, balcón",balador
56,lemma,balamént,sm,"dondolio, oscillazione",balament
57,lemma,balandra,agg,"persona confusa in testa, scansafatiche, poltrone, pelandrone, scioperato, ubriacone",balandra
58,lemma,balanza,sf,"bilancia, bascula, stadera, pesa",balanza
59,locuzione,balanza (en –),loc,"in bilico, in stabilità",balanza (en –)
60,lemma,balanzìn,sm,nel carro: la traversina sul davanti ove si attaccavano i tiranti,balanzin
61,lemma,balàr,vb,"ballare, danzare",balar
62,lemma,balarina,sf,"1. ballerina, danzatrice, 2. ballerina (uccello) - anche:balerina",balarina
63,lemma,balbuziàr,vb,balbettare - anche: embesolarse,balbuziar
64,lemma,balcón,sm,"balcone, poggiolo - anche:pontesèl, pogiòl, baladór",balcon
65,lemma,baldonàz,sm,"sanguinaccio, baldone - anche:brusti",baldonaz
66,lemma,bale,sfpl,"palle, balle, bugie",bale
67,locuzione,bale (nar for da le –),loc,"levarsi di torno, andarsene, non rompere più",bale (nar for da le –)
68,lemma,balèngo,agg,1. sciocco; 2. strambo; 3. disuguale - anche:balènch,balengo
69,lemma,balerìn,sm,"ballerino, danzatore - anche:balarin",balerin
70,lemma,balét,sm,balletto,balet
71,lemma,balìn,sm,"pallino per fucile; per il gioco delle bocce, boccino - anche: borin",balin
72,lemma,balinàzi,sm,"pallettoni, proiettili, pallini grossi",balinazi
73,locuzione,balinàzi (nar de –),loc,"correre veloci, filare via velocemente, scappare",balinazi (nar de –)
74,lemma,balista,sm,"conta frottole, menzognero",balista
75,lemma,balón,sm,"1. pallone, calcio, football; 2. fig. grossa sbornia",balon
76,lemma,balón,agg,"bugiardo, millantatore, fanfarone, impostore",balon
77,locuzione,balón (a –),loc,"con insuccesso, alla rovina, esito negativo,",balon (a –)
78,locuzione,balón (nar a –),loc,"andare in fallimento, essere in confusione, smarrimento",balon (nar a –)
79,lemma,balonzìn,sm,palloncino,balonzin
80,lemma,balonzìna,sf,"palloncina, palla pugno (giocato similmente al tamburello)",balonzina
81,lemma,balòs,agg,"balordo, canaglia, briccone, maledetto, strambo, stravagante, tonto",balos
82,lemma,balosàda,sf,"azione poco corretta, brutto scherzo",balosada
83,lemma,balòt,sm,"sasso, pietra, ciottolo",balot
84,lemma,balòta,sf,"pallina, biglia",balota
85,lemma,balòte,sfpl,"1. biglie, palline, gioco di ragazzi; 2. testicoli",balote
86,locuzione,balòte (żugàr a le –),loc,giocare con le biglie (palline di terracotta o di vetro),balote (zugar a le –)
87,lemma,balòtole,sf,"pallottole, palle, palline (di carta, terracotta, pane, ecc.)",balotole
88,lemma,balotón,sm,"pallina di acciaio, o la più grossa delle altre al gioco delle biglie",baloton
89,lemma,bàlsem,sm,"balsamo, fig. linimento, conforto",balsem
90,lemma,balzàn,agg,"balzano, estroso, stravagante - anche: strampalà",balzan
91,lemma,bambìn (ma –),escl,"interiezione come: perbacco, caspita, accidenti",bambin (ma –)
92,lemma,bambinàto,escl,interiezione come per la miseria,bambinato
93,lemma,bambinèl,sm,bambinello (Gesù bambino),bambinel
94,lemma,bambòcio,sm,"bamboccio, bambolotto, pupazzo, sempliciotto - anche: bambòz",bambocio
95,lemma,bambolòt,sm,"bambolotto, bamboccio, pupazzo, burattino",bambolot
96,lemma,bamboṡèl,sm,polpaccio,bambosel
97,lemma,bampa,sf,"fiammata improvvisa, vampata, caldana; anche: vampa",bampa
98,locuzione,bampa (te sei en –),loc,"sei focoso, sei irruente, sei passionale, sei impulsivo",bampa (te sei en –)
99,lemma,banca,sf,"1. panca, sedile, banca, banco; 2. istituto di credito",banca
100,locuzione,banca (na – de légna),loc,"una catasta di legna, un mucchio di legna, una notevole quantità di legna",banca (na – de legna)
101,lemma,bancàl,sm,attrezzo a punta usato per forare la roccia con punta a rosa - anche: pizpor,bancal
102,lemma,banch,sm,"banco, panca, scrittoio",banch
103,lemma,banchér,sm,banchiere,bancher
104,lemma,banchét,sm,"bancarella, panchetto, banchetto, convivio, cena",banchet
105,lemma,banchéta,sf,"panca, panchina, panchetta",bancheta
106,lemma,banchéti,smpl,"bancarelle dei mercati, piccole panche",bancheti
107,locuzione,banchéti (nar sui –),loc,andare alle bancarelle dai venditori ambulanti,bancheti (nar sui –)
108,lemma,bancón,sm,"bancone, pancone",bancon
109,lemma,banda,sf,"1. banda, gruppo di suonatori, combriccola; 2. lamiera, latta; 3. parte, zona, direzione, lato",banda
110,locuzione,banda (l'è na – de matelòti),loc,è una combriccola di ragazzini,banda
111,locuzione,banda (en coèrt fat de –),loc,"un coperto fatto di lamiera, un tetto fatto di latta",banda
112,locuzione,banda (da – a –),loc,"da parte a parte, da una parte all'altra",banda (da – a –)
113,locuzione,banda (da la – de Gardol),loc,"in direzione di Gardolo, verso Gardolo",banda (da la – de Gardol)
114,locuzione,banda (da na –),loc,"da una parte, in disparte, in un posto",banda (da na –)
115,locuzione,banda (tirete 'n –),loc,"fatti da parte, scansati, spostati",banda (tirete 'n –)
116,locuzione,banda (vago da na –),loc,"vado in un posto, vado un luogo",banda (vago da na –)
117,locuzione,banda (da l'altra – del mondo),loc,"dall'altra parte del mondo, in capo al mondo, senza meta",banda a l'altra (da –)
118,lemma,bandàr,sm,"lattoniere, stagnino, chi lavora la banda",bandar
119,lemma,bandèla,sf,"lamiera, lamierino",bandela
120,lemma,bandéra,sf,"1. bandiera, stendardo; 2. voltagabbana, opportunista, traditore",bandera
121,lemma,banderàl,sm,"porta bandiera, alfiere",banderal
122,lemma,bando,sm,punto di salvezza nel gioco a darsela: toccarsi e rincorrersi,bando
123,lemma,bandón,sm,"bidone di lamiera, fusto di latta, bidoncino, grande recipiente di latta per diversi usi",bandon
124,lemma,bandus,sm,"tregua, sospensione del gioco, interruzione nei giochi da cortile",bandus
125,lemma,bao,sm,"bruco, insetto, coleottero, baco, voce per spaventare i bambini",bao
126,locuzione,bao (– de la farina ),loc,"larva della farina, tignola, tarma",bao (– de la farina )
127,locuzione,bao (far vegnir el –),loc,"far stizzire, far stufare, far infastidire, irritare, provocare il voltastomaco",bao (far vegnir el –)
128,locuzione,bao (l'è del –),loc,"è di nessuno, è inutile",bao (l'e del –)
129,locuzione,bao (nó saverghen de –),loc,"ignorare, non saperne di qualcosa o non volerne sapere di qualcosa",bao (no saverghen de –)
130,locuzione,bao del tabach,loc,"cerambice del salice (insetto), odora di muschio, la mettevano nella tabacchiera",bao del tabach
131,lemma,bao-baosète,escl,esclamazione per sbigottire i bambini,bao-bao sete te
132,lemma,barabèco,sm,"persona poco raccomandabile, spiritello pauroso",barabeco
133,lemma,baracàr,vb,"gozzovigliare, bisbocciare, far baldoria - anche: sbaracar",baracar
134,lemma,baracón,sm,"1. baraccone 2. persona a cui piace mangiare, bere e divertirsi",baracon
135,lemma,baramina,sf,attrezzo a punta usato per forare la roccia con punta a rosa - anche:pizpor,baramina
136,lemma,barba,sm,"1. barba, pizzo; 2. zio scapolo; 3. lagna, noia, menata",barba
137,locuzione,barba da béch,loc,"actaea, pianta ranuncolacea purgativa ma assai velenosa",barba da bech
138,locuzione,barba del frate,loc,tipo di insalata,barba del frate
139,lemma,barbacagnàr,vb,rinforzare le case coi barbacani,barbacagnar
140,lemma,barbacàn,sm,"barbacane, rinforzo, contrafforte",barbacan
141,lemma,barbér,sm,barbiere (da uomo),barber
142,lemma,barbìn,agg,"barbino, meschino, difficile, nascosto, incomprensibile",barbin
143,locuzione,barbina (fegura –),loc,"brutta figura, figura da scemo, figura meschina",barbina (fegura –)
144,lemma,barbiṡe,sfpl,"ballerino, danzatore - anche: balarin",barbise
145,lemma,barbizòl,sm,"mento, barbetta, pizzetto - anche: barbòz",barbizol
146,lemma,barbón,sm,"1. barbone, mendicante, accattone; 2. buzzurro, cafone, zoticone - anche: baron del sol",barbon
147,lemma,barbòz,sm,mento - anche: barbizòl,barboz
148,lemma,barbustèl,sm,"1. pipistrello; 2. ragazzo imberbe, sbarbatello, nottambulo",barbustel
149,lemma,barcèla,sf,"1. carretta, carrettino, macinino; 2. contenitore per la teleferica",barcela
150,lemma,bardàr,vb,"bardare, custodire",bardar
151,lemma,bardasa,agg,"1. briccone, monello, birba; 2. donna di facili costumi",bardasa
152,lemma,barèa,escl,"espressione di disgusto, voce bambinesca per dire 'che schifo'",barea
153,lemma,barèla,sf,"barella, portantina, bussola",barela
154,lemma,barelón,sm,"sbarello, barroccio, usato nell’edilizia",barelon
155,lemma,baréta,sf,"berretto, berretta, coppola",bareta
156,lemma,baréta da prèt,sf,evonimo (pianta medicinale),bareta da pret
157,lemma,baretàr,sm,berrettaio - anche: beretar,baretar
158,lemma,baretèla,sf,berrettino - anche: baretìn,baretela
159,lemma,bargio,agg,"contadino rozzo, grossolano, indelicato, grezzo, bifolco, indelicato",bargio
160,lemma,barìl,sm,"1. barile, botte, barilotto; 2. panzone, grassone, ciccione.",baril
161,lemma,bariṡèl,sm,"barilotto, bariletta, fiaschetta portata a tracolla; anche: barilòt, botesìn",barisel
162,lemma,bariṡèla,sf,1. irroratrice a mano per dare il verde­rame; 2. piccola botte,barisela
163,lemma,barlusemàr,vb,1. illuminare fortemente; 2. incantare,barlusemar
164,lemma,barón del sól,sm,"barboni, mendicanti, trasandato; lavoratore saltuario, squattrinati senza fissa dimora",baron del sol
165,lemma,barufàr,vb,"litigare, bisticciare, questionare",barufar
166,lemma,barżeléta,sf,"barzelletta, storiella",barzeleta
167,lemma,bas,agg,basso,bas
168,locuzione,bas (żó –),loc,"giù da basso, giù di sotto, al piano terra, accucciato",bas (zo –)
169,lemma,baṡadòne,sm,"venticello, brezzolina, brezza",basadone
170,lemma,baṡamént,sm,"1. baciamento, sbaciucchiamento; 2. base, basamento, zoccolo.",basament
171,lemma,baṡar,vb,1. baciare; 2. basare,basar
172,locuzione,baṡar ṡu,loc,"sbaciucchiare, baciare",basar su
173,locuzione,base (a le –),loc,"in pianura, giù lì",base (a le –)
174,locuzione,base (żó per le –),loc,"giù per la pianura, giù di lì; anche: żó en le base, a le base",base (zo per le –)
175,lemma,baṡélghi,smpl,gli abitanti di Baselga di Piné; soprannome: sórgi,baselghi
176,lemma,baṡìn,sm,bacetto,basin
177,lemma,baṡinaro,sm,"venditore ambulante di basìni - basìni amari, amaretti",basinaro
178,lemma,baṡini,smpl,biscotti casalinghi venduti nelle sagre,basini
179,lemma,baso,sm,"basso, baritono, profondo",baso
180,lemma,baṡo,sm,bacio,baso
181,lemma,basòt,agg,"bassetto, alquanto basso",basot
182,lemma,baṡòt,sm,"bacetto, bacino",basot
183,lemma,bastanza,avv,"abbastanza, sufficiente",bastanza
184,lemma,bastàrd,agg,"bastardo, illegittimo, degenerato",bastard
185,lemma,bastardarìa,sf,"cosa senza capo ne coda, carognata, vigliaccata",bastardaria
186,lemma,bastimént,sm,"bastimento, piroscafo",bastiment
187,lemma,bata,sf,"ovatta, cotone idrofilo; - anche: ovata",bata
188,lemma,batàia,sf,"battaglia, conflitto, confronto",bataia
189,lemma,bataiàr,vb,battagliare,bataiar
190,lemma,batalión,sm,"battaglione, gruppo di persone",batalion
191,lemma,batarìa,sf,"mercanzia, suppellettili, cianfrusaglie, confusione di cose",bataria
192,lemma,batedèl,sm,"1. battiporta, picchiotto; 2. chiavistello di legno usato nelle chiudende di campagna",batedel
193,lemma,batèl,sm,"battello, traghetto, imbarcazione",batel
194,lemma,bàter,vb,"bussare, battere, percuotere, picchiare, malmenare, trebbiare",bater
195,locuzione,bàter brochéte,loc,battere i denti per il freddo,bater brochete
196,locuzione,bàter el sól,loc,"soleggiato, assolato, esposto al sole",bater el sol
197,locuzione,bàter fòra,loc,"tagliare, recidere, abbattere, ripulire",bater fora
198,locuzione,bàter la luna,loc,"lunatico, imprevedibile, immusonito",bater la luna
199,locuzione,bàter su légna,loc,spaccare la legna.,bater su legna
200,lemma,bàter żó,vb,"abbattere, demolire, smantellare",bater zo
201,locuzione,bàteri (dai –),loc,nel tempo della trebbiatura,bateri (dai –)
202,lemma,bateżàr,vb,"1. battezzare, bagnare; 2. dare un soprannome; 3. picchiare, dare botte",batezar
203,lemma,batéżo,sm,"battesimo, iniziazione",batezo
204,lemma,baticòr,sm,"batticuore, agitazione",baticor
205,lemma,baticulàte,sm,marsina o frac,baticulate
206,lemma,batidór,sm,1. correggiato: attrezzo per la battitura dei cereali; 2. battitore in tutti i giochi e nei lavori,batidor
207,lemma,batipani,sm,battipanni,batipani
208,lemma,batòcio,sm,"1. battaglio, batacchio delle campane; 2. birbante, furbacchione",batocio
209,lemma,batòcol,sm,batacchio (della campana),batocol
210,lemma,bàtola,sf,"1. ciarlone, parolaio, fanfarone; 2. battola, raganella (strumento di legno per fare un suono assordante); anche: ràtola, gràtola, grèga",batola
211,locuzione,bàtola (gavér na –),loc,"avere una parlantina, essere un chiacchierone, avere una chiacchiera",batola (gaver na –)
212,lemma,batolàr,vb,"ciarlare a vanvera, fare pettegolezzi",batolar
213,lemma,batolón,sm,"chiacchierone, ficcanaso, un racconta tutto, non sa mantenere un segreto",batolon
214,lemma,batuda,sf,stipite degli infissi,batuda
215,lemma,baùco,agg,"sciocco, tonto, grullo",bauco
216,lemma,baùl,sm,"baule, cassettone",baul
217,lemma,bava,sf,"1. saliva; bava alla bocca; 2. freddo intenso, aria gelida 3. filo per pescare",bava
218,lemma,bavaròl,sm,"bavaglino, bavagliolo",bavarol
219,lemma,baveṡèla,sf,"brezza, venticello, arietta",bavesela
220,lemma,bavét,sm,piccolo insetto.,bavet
221,lemma,baża,sf,"bazza, fortuna, buona sorte, culo, abbondanza, occasione",baza
222,locuzione,baża (gavér na – ),loc,avere una fortuna sfacciata,baza (gaver na – )
223,locuzione,baża (mai vist 'na – compagna),loc,"mai visto una fortuna simile, mai vista un'abbondanza così copiosa",baza (mai vist 'na – compagna)
224,lemma,bażana,sf,"fagiolo da sgranare, baccello",bazana
225,lemma,bażanèla,sf,fagiolino verde,bazanela
226,lemma,bażari,smpl,"empori, negozi con molti articoli",bazari
227,locuzione,bażari (cosa èlo sti –),loc,"cosa è questa confusione, cosa succede qui",bazari (cosa elo sti –)
228,locuzione,bażari (nar fòr dei –),loc,andare sulle furia,bazari (nar for dei –)
229,locuzione,bażari (nar fòr dei –),loc,andare in fretta e furia,bazari (nar for dei –)
230,locuzione,bażari (nó ghè – che tegna),loc,"non c'è niente da fare, l'affare non si conclude",bazari (no ghe – che tegna)
231,lemma,bàzega,sf,"bagatella, bazzecola, qualunque oggetto in senso spregiativo - anche: sbazega",bazega
232,lemma,bazicàr,vb,"bazzicare, frequentare, praticare",bazicar
233,lemma,bazilòli,sm,a cavalluccio,baziloli
234,lemma,bazilón,sm,"arcuccio, bicollo: asta di legno ricurva con tacche alle estremità per portare due secchi",bazilon
235,lemma,bazina,sf,"bacile, teglia, tegame di rame stagnato, tortiera senza manico",bazina
236,lemma,bażo,sm,vizzo dei legumi,bazo
237,lemma,bazón,sm,"bigonciolo, piccola mastella con manico per travasare i liquidi - anche: stòz",bazon
238,lemma,bebèl,sm,"balocco, giocattolo",bebel
239,lemma,becà,vb,"beccato, colpito col becco, punto, ricevuto, ottenuto, sorpreso",beca
240,lemma,béca,sf,"1. torta ordinaria, dolce casalingo a volte con uvetta e mele; 2. bisbetica, donna astiosa",beca
241,locuzione,béca (l'è na ó de una –),loc,è proprio una bisbetica,béca (l'è na ó de una –)
242,locuzione,bèca (se 'l te –),es,"se ti prende, se ti acchiappa, se ti punge",beca (se 'l te –)
243,lemma,becada,sf,"beccata, colpo di becco; anche puntura d'insetto",becada
244,lemma,becamòrti,sm,"becchino, necroforo - fig. iettatore",becamorti
245,lemma,becamùr,sm,picchio muraiolo,becamur
246,lemma,becàr,sm,macellaio; fig. chirurgo incapace,becar
247,lemma,becàr,vb,"beccare, morsicare d'insetto, pungere, pizzicare, ricevere, acciuffare",becar
248,locuzione,becàr via,loc,"portare via, carpire",becar via
249,lemma,becarìa,sf,macelleria,becaria
250,lemma,becaza,sf,beccaccia,becaza
251,lemma,becazòche,sm,picchio verde,becazoche
252,lemma,béch,sm,"bécco, caprone, montone; anche: ciót, béco",bech
253,lemma,bèch,sm,"1. becco degli uccelli; 2. tipo di pane allungato 'filone' (baguette); 3. spigolo, punta, angolo, del fazzoletto o del lenzuolo",bech
254,locuzione,béch (dur come 'n –),loc,"cocciuto, testa dura, irremovibile",bech (dur come 'n –)
255,locuzione,bèch (méterghe el –),loc,"interloquire, intromettersi, ficcare il naso, metter bocca",bech (meterghe el –)
256,locuzione,béch (nar al –),loc,1. capra che è in calore; 2. gli ortaggi quando vanno in semenza,bech (nar al –)
257,locuzione,béch (spuzàr come 'n –),loc,"puzzare tremendamente, emanare un odoraccio",bech (spuzar come 'n –)
258,locuzione,bèch a bèch,loc,"a testa a testa, faccia a faccia, a quattrocchi",bech a bech
259,lemma,bechenàr,vb,gioco con le uova: facendo picchiare le due punte (perde quello che si rompe),bechenar
260,lemma,bécherli,smpl,"punteruoli, curculioni (coleottero)",becherli
261,lemma,bechét,sm,"1. filoncino (panino dolce); 2. persona molto loquace, ficcanaso",bechet
262,locuzione,bechét a l'ua,loc,filoncino con l'uvetta appassita,bechet a l'ua
263,locuzione,bèchi ('l gà la luna a sète –),loc,ha la luna di traverso,bechi ('l ga la luna a sete –)
264,lemma,bechìn,sm,"becchino, necroforo, beccamorti; anche: pizegòt",bechin
265,lemma,béco,sm,"becco, capro, cornuto, uomo tradito",beco
266,lemma,becolàr,vb,"beccottare, piluccare, beccare, mangiucchiare; anche: sbecolàr",becolar
267,lemma,becón,sm,"beccata, puntura d'insetto o di serpe, colpo di becco",becon
268,lemma,bedól,sm,betulla,bedol
269,lemma,Bedól,np,"Bedollo, comune dell’altopiano di Piné",Bedol
270,lemma,bédole,sfpl,betulle,bedole
271,lemma,bèfa,sf,"sberleffo, derisione, presa in giro, dileggio, boccone amaro, delusione",befa
272,locuzione,bèfa (l'è sta 'na –),es,"è stata una beffa, ho avuto una delusione",befa (l'e sta 'na –)
273,locuzione,bèfe (la me fa le –),es,"mi prende in giro, mi sbeffeggia",befe (la me fa le –)
274,lemma,bèga,sf,"lite, controversia, rissa, baruffa",bega
275,lemma,begadór,sm,uomo litigioso.,begador
276,lemma,beganate,sfpl,"notte dei doni, regali dell'Epifania o al nuovo anno; anche: beghenàte",beganate
277,lemma,begàr,vb,"1. bisticciare, litigare, azzuffarsi; 2. sgridare, rimproverare, redarguire",begar
278,lemma,begaròl,sm,"attaccabrighe, polemico, litigioso",begarol
279,lemma,bèghe,sfpl,"litigi, discussioni, rimproveri",beghe
280,lemma,bèghel,sm,"gufo, allocco, uccello notturno",beghel
281,lemma,begón,sm,"rissa, baruffa, zuffa, grosso litigio",begon
282,locuzione,begón (far su 'n –),loc,"fare una grande litigata, un putiferio",begon (far su 'n –)
283,locuzione,begón da òto,loc,"grossa rissa, finimondo, baruffa",begon da oto
284,lemma,bèl,agg,"bello, attraente, piacevole, limpido, sereno",bel
285,lemma,bèl,sm,"fidanzato, moroso",bel
286,locuzione,bèl aṡi (a –),loc,"piano piano, con comodità, momento opportuno",bel asi (a –)
287,locuzione,bèl e bòn,loc,capace persino; aggiungerei un esempio,bel e bon
288,locuzione,bèl òio (a –),loc,"a cavalcioni, a cavalluccio",bel oio (a –)
289,lemma,bèla,sf,"1. morosa, fidanzata, innamorata; 2. finale, finalissima, spareggio",bela
290,locuzione,bèla (– còpia),loc,"bella copia, stesura definitiva",bela (– copia)
291,lemma,beladòna,sf,belladonna (pianta),beladona
292,locuzione,bèle (ale –),loc,"sotto mano, nelle vicinanze",bele (ale –)
293,locuzione,bèle (nar drìo cole –),loc,"usare belle maniere, con molta pazienza",bele (nar drio cole –)
294,locuzione,bèle (narghe ale –),loc,"andare a tiro, avvicinarsi sottomano, presentarsi",bele (narghe ale –)
295,locuzione,bèle (vegnìr ale –),loc,"venire a tiro, venire a proposito",bele (vegnir ale –)
296,lemma,belét,sm,"belletto, rossetto, miscuglio farina gialla, aceto e sale per lucidare le pentole di rame",belet
297,locuzione,belét (farghe el –),loc,lucidare i 'rami' di cucina col belét,belet (farghe el –)
298,lemma,beléza,sf,"bellezza, incanto, splendore",beleza
299,lemma,belòio,sm,"a cavalcioni, cavalluccio. Anche: bazilòli",beloio
300,lemma,belòm,sm,bel uomo,belom
301,lemma,bèn,sm,bene,ben
302,lemma,bèn,avv,"rafforzativo per dire es.: ben vero, ben bene, ben strano",ben
303,locuzione,bèn (a –),loc,"così va bene, a posto",ben (a –)
304,locuzione,bèn (el me –),loc,"il mio bene, il mio amore sotto bèn sm",ben (el me –)
305,locuzione,bèn bèn (la va –),loc,"mi va bene, va in modo corretto, non c'è male",ben ben (la va –)
306,locuzione,bèn bòn (l'è –),loc,"è proprio buono, è veramente capace, è dotato",ben bon (l'e –)
307,locuzione,bèn bòn dólz,loc,"ok, così va bene, tutto bene, tutto a posto",ben bon dolz
308,lemma,bèna,sf,"cestone di vimini, usato per trasportare carichi",bena
309,lemma,benbinà,agg,"combinato bene, ben messo, corrispondente, appropriato, ben assortito",benbina
310,lemma,benedét,agg,"benedetto, consacrato, protetto, atteso",benedet
311,lemma,benedìr,vb,"benedire, esser grato, dire bene",benedir
312,lemma,benefizi,sm,"beneficio, vantaggio, sollievo, lascito",benefizi
313,lemma,benèl,sm,"1. culla, cesto che serve da culla; 2. piccola benna - Anche: minèla",benel
314,lemma,bènfàto,agg,"buono, bello, ben formato, bene! sta bene! è giusto!",benfato
315,lemma,benón,avv,"benone, molto bene, ottimamente, approvazione, assenso",benon
316,lemma,bèntegnù,agg,"ben custodito, ben coltivato, ben curato",bentegnu
317,lemma,bènvegnù,agg,"benvenuto, ben arrivato",benvegnu
318,lemma,Bèpa,np,Giuseppa,Bepa
319,lemma,bèpa,sf,grappa - anche: sgnapa,bepa
320,lemma,Bèpi,np,Giuseppe,Bepi
321,lemma,Bepina,np,Giuseppina,Bepina
322,lemma,Bèpo,np,Giuseppe,Bepo
323,lemma,berechìn,agg,"birichino, vivace, furbetto",berechin
324,lemma,bèrghen,sm,"rumore, piagnisteo, lamentazione, lagna",berghen
325,lemma,bergnìf,agg,"furbo ma malizioso, scaltro - anche: bernìf",bergnif
326,lemma,berlìchete,sm,"demonio, diavolo",berlichete
327,lemma,bèrta,sf,"battipalo, macchina adoperata per frantumare rottami, per infiggere pali nel terreno, ecc.",berta
328,locuzione,bèrta (tegnìr en –),loc,"tenere a bada, far star allegri",berta (tegnir en –)
329,lemma,beṡevì,agg,"senza sale, insipido, insulso, sciocco",besevi
330,lemma,besolàr,vb,"balbettare, tartagliare, farfugliare",besolar
331,lemma,besolón,sm,"balbuziente, tartaglione",besolon
332,lemma,bespiàr,sm,"1. vespaio; 2. ascesso, tumore",bespiar
333,lemma,bèspro,sm,"vespro, vespero (funzione religiosa); anche: vèspro",bespro
334,locuzione,bèspro (cantarghe el –),loc,"rimproverare, sgridare, ammonire, strapazzare",bespro (cantarghe el –)
